candidate,dataset,family,route,primary,questions,ndcg_at_10,recall_at_10,mrr_at_10,full_qrel_coverage_at_10,p95_ms,double_build_seconds,knowledge_bytes,agent_execution_seconds,native_trial_seconds,generation,profile,profile_qualified
g0-quarter-expansion,astro,classical,fusion,True,40,0.8326584600131275,0.8875,0.9208333333333334,0.725,82.32972100086045,50.59273445300278,34361117,67.363956,111.750385,0,quarter-expansion,True
g0-quarter-expansion,architecture,adaptive,adaptive,True,40,0.8518232889631128,0.9520833333333334,0.891904761904762,0.875,1684.8847469991597,148.66984451200187,152558596,212.141316,257.398255,0,quarter-expansion,True
g0-bm25-low-b,astro,graphify,search,True,40,0.5779156769160976,0.7729166666666667,0.5792261904761904,0.6,139.87230799830286,35.27490778900028,17785739,40.568275,83.118811,0,bm25-low-b,True
g0-bm25-low-b,enterprise,legacy,lexical,True,40,0.5749695375722894,0.6192460317460318,0.5986111111111111,0.525,3.2289650007442106,35.183502943997155,4933955,36.046585,75.853051,0,bm25-low-b,True
g0-bm25-low-b,architecture,graphify,search,True,40,0.5775650846510725,0.5958333333333333,0.6875,0.425,96.0545079979056,15.563547839999956,32608496,20.386716,63.541544,0,bm25-low-b,True
g0-bm25-low-b,data-science,turso,lexical-sql,True,40,0.4016212910774567,0.74375,0.3178769841269841,0.65,460.87396800066927,20.43107944499934,158821350,37.539778,80.876614,0,bm25-low-b,True
g0-bm25-low-b,enterprise,turso,lexical-sql,True,40,0.40319114502840775,0.49871031746031746,0.40854166666666664,0.4,40.62381199764786,39.44298590499966,23927107,41.405409,82.752426,0,bm25-low-b,True
g0-bm25-low-b,architecture,classical,fusion,True,40,0.8982687155213783,0.9645833333333333,0.9291666666666666,0.9,676.4246099992306,134.66635060399858,172206005,256.268926,298.211179,0,bm25-low-b,True
g0-bm25-low-b,enterprise,entity-graph,fusion,True,40,0.47275963568195856,0.5831349206349207,0.47506944444444443,0.5,48.0675050021091,60.698194730997784,13856388,67.804784,107.876717,0,bm25-low-b,True
g0-bm25-low-b,architecture,ensemble,quality,True,40,0.8519681577190859,0.9604166666666666,0.8800000000000001,0.9,5732.614002998162,584.6651695800028,458363799,1015.200491,1059.375237,0,bm25-low-b,True
g0-bm25-low-b,data-science,embeddings,hybrid,True,40,0.60043749109768,0.8895833333333334,0.5200297619047619,0.8,808.8331580001977,20.933874258000287,79076656,84.065574,125.417212,0,bm25-low-b,True
g0-bm25-low-b,data-science,classical,fusion,True,40,0.8053872497363544,0.7854166666666667,0.9125,0.7,997.3382749994926,241.31077206999908,266251750,404.214027,446.411039,0,bm25-low-b,True
g0-bm25-low-b,enterprise,embeddings,hybrid,True,40,0.516406878690786,0.5991071428571428,0.541875,0.5,48.407790000055684,64.36799687200255,7169691,69.031416,110.843866,0,bm25-low-b,True
g0-bm25-low-b,architecture,legacy,lexical,True,40,0.8154736310803241,0.95,0.80625,0.9,0.39299700074479915,5.370358152002154,25449713,6.890945,49.452661,0,bm25-low-b,True
g0-bm25-low-b,architecture,entity-graph,fusion,True,40,0.8342284796895436,0.975,0.8125,0.925,3553.1784090017027,226.15939968300154,318372177,748.118983,790.434411,0,bm25-low-b,True
g0-bm25-low-b,astro,ensemble,quality,True,40,0.795670081657849,0.8708333333333333,0.8802083333333334,0.725,4726.363069003128,283.54304685600073,145084331,607.870777,651.623969,0,bm25-low-b,True
g0-bm25-low-b,architecture,embeddings,hybrid,True,40,0.7237714735653961,0.9208333333333334,0.7154464285714286,0.8,498.3321409999917,12.80115974400178,38303852,48.016763,91.77775,0,bm25-low-b,True
g0-bm25-low-b,architecture,turso,lexical-sql,True,40,0.5840043018567261,0.8625,0.5272023809523809,0.725,354.12132300189114,11.845975771000667,76846321,24.389805,71.049967,0,bm25-low-b,True
g0-bm25-low-b,enterprise,classical,fusion,True,40,0.442499636298842,0.4398809523809524,0.5625,0.35,47.7691779997258,84.2495869609993,8014930,90.997213,134.588386,0,bm25-low-b,True
g0-bm25-low-b,data-science,adaptive,adaptive,True,40,0.9196591552903186,0.9916666666666666,0.9319444444444445,0.975,3440.588661997026,331.02505477700106,266252926,471.229411,530.553767,0,bm25-low-b,True
g0-bm25-low-b,astro,legacy,lexical,True,40,0.6051893734409577,0.7541666666666667,0.6446527777777777,0.575,3.2658409982104786,19.804020281000703,8773595,20.936007,65.254605,0,bm25-low-b,True
g0-bm25-low-b,data-science,entity-graph,fusion,True,40,0.8074350170222658,0.975,0.7835714285714286,0.925,8622.566651996749,656.9667870430021,676957164,2029.85221,2073.8597,0,bm25-low-b,True
g0-bm25-low-b,astro,embeddings,hybrid,True,40,0.7851983317054789,0.8583333333333334,0.8554166666666667,0.7,154.16089599966654,34.94963093399929,13011524,47.134821,92.423572,0,bm25-low-b,True
g0-bm25-low-b,data-science,legacy,lexical,True,40,0.8321588233274824,0.95,0.8175000000000001,0.9,0.6062530010240152,11.66769461000149,52554726,14.884254,88.431358,0,bm25-low-b,True
g0-bm25-low-b,astro,adaptive,adaptive,True,40,0.777380336447773,0.8708333333333333,0.8390277777777777,0.725,5357.102230002056,59.27871824400063,34362290,169.451741,216.770019,0,bm25-low-b,True
g0-bm25-low-b,enterprise,graphify,search,True,40,0.13626228624863054,0.17371031746031745,0.20423611111111112,0.1,155.25064599933103,167.58021834100145,14940327,172.479684,219.191146,0,bm25-low-b,True
g0-bm25-low-b,astro,entity-graph,fusion,True,40,0.6666633672811659,0.8229166666666666,0.7165277777777778,0.65,1211.6654779965756,141.7129695830008,114816438,333.105871,380.414866,0,bm25-low-b,True
g0-bm25-low-b,enterprise,adaptive,adaptive,True,40,0.5068734091416912,0.5906746031746032,0.5750694444444444,0.475,1650.220788000297,74.26029900899812,8016106,113.975872,159.454346,0,bm25-low-b,True
g0-bm25-low-b,data-science,graphify,search,True,40,0.5440998456059355,0.5395833333333333,0.625,0.475,342.61821700056316,44.786544315000356,74673183,60.774945,104.198858,0,bm25-low-b,True
g0-bm25-low-b,astro,turso,lexical-sql,True,40,0.47813551023378115,0.6666666666666667,0.4916964285714286,0.475,160.8065180007543,25.171321756999532,32612315,30.122005,76.058023,0,bm25-low-b,True
g0-bm25-low-b,enterprise,ensemble,quality,True,40,0.5388422743524227,0.5906746031746032,0.5785714285714285,0.475,1587.1124400000554,278.4189551449999,19997413,392.072793,437.466618,0,bm25-low-b,True
g0-bm25-low-b,data-science,ensemble,quality,True,40,0.937917173751601,0.9916666666666666,0.940625,0.975,12193.155111002852,1395.8051176120025,917220099,2342.366665,2385.378292,0,bm25-low-b,True
g0-bm25-low-b,astro,classical,fusion,True,40,0.777380336447773,0.8708333333333333,0.8390277777777777,0.725,79.80695600053878,50.26417102599953,34361114,65.149323,108.455211,0,bm25-low-b,True
g0-bm25-low-b,architecture,adaptive,adaptive,True,40,0.8579850860692957,0.9604166666666666,0.905,0.9,1912.7067090012133,154.69114714900206,152558593,226.7111,268.81289,0,bm25-low-b,True
g0-stronger-titles,astro,graphify,search,True,40,0.5779156769160976,0.7729166666666667,0.5792261904761904,0.6,142.9071610000392,38.401137044998904,17785739,43.823606,86.947727,0,stronger-titles,True
g0-stronger-titles,enterprise,legacy,lexical,True,40,0.5749695375722894,0.6192460317460318,0.5986111111111111,0.525,3.423903002840234,38.36204994000218,4933955,39.184005,79.300261,0,stronger-titles,True
g0-stronger-titles,architecture,graphify,search,True,40,0.5775650846510725,0.5958333333333333,0.6875,0.425,98.84799000064959,16.61470680599814,32608496,21.59689,66.474005,0,stronger-titles,True
g0-stronger-titles,data-science,turso,lexical-sql,True,40,0.4016212910774567,0.74375,0.3178769841269841,0.65,450.2409870001429,21.38947185500001,158821350,38.963922,84.573271,0,stronger-titles,True
g0-stronger-titles,enterprise,turso,lexical-sql,True,40,0.40319114502840775,0.49871031746031746,0.40854166666666664,0.4,47.515500998997595,43.08987992599941,23927107,45.242458,91.185869,0,stronger-titles,True
g0-stronger-titles,architecture,classical,fusion,True,40,0.9185135776430311,0.9583333333333334,0.975,0.9,808.0148290027864,195.93834900100046,172206005,338.445966,383.559631,0,stronger-titles,True
g0-stronger-titles,enterprise,entity-graph,fusion,True,40,0.4673466879301481,0.5803571428571429,0.47333333333333333,0.5,97.22898999825702,96.61102783599927,13856388,108.871727,155.02721,0,stronger-titles,True
g0-stronger-titles,architecture,ensemble,quality,True,40,0.855469463906916,0.9583333333333334,0.8800000000000001,0.9,5214.034313998127,651.6845120670005,458363799,1064.220456,1107.434737,0,stronger-titles,True
g0-stronger-titles,data-science,embeddings,hybrid,True,40,0.60043749109768,0.8895833333333334,0.5200297619047619,0.8,831.2768010000582,27.38648723699953,79076656,101.737878,145.123171,0,stronger-titles,True
g0-stronger-titles,data-science,classical,fusion,True,40,0.8053872497363544,0.7854166666666667,0.9125,0.7,890.7500979985343,270.7994934670023,266251750,431.27179,472.848788,0,stronger-titles,True
g0-stronger-titles,enterprise,embeddings,hybrid,True,40,0.516406878690786,0.5991071428571428,0.541875,0.5,47.009118999994826,62.46415932799937,7169691,66.993961,108.851754,0,stronger-titles,True
g0-stronger-titles,architecture,legacy,lexical,True,40,0.8154736310803241,0.95,0.80625,0.9,0.198732999706408,5.279779075000988,25449713,6.764671,49.365444,0,stronger-titles,True
g0-stronger-titles,architecture,entity-graph,fusion,True,40,0.8350413379424438,0.975,0.8133333333333332,0.925,4710.959075000574,202.9264271730026,318372177,675.084491,730.76806,0,stronger-titles,True
g0-stronger-titles,astro,ensemble,quality,True,40,0.8152445126895074,0.86875,0.9125,0.725,4130.722745001549,244.0198242080005,145084331,570.109731,617.962782,0,stronger-titles,True
g0-stronger-titles,architecture,embeddings,hybrid,True,40,0.7237714735653961,0.9208333333333334,0.7154464285714286,0.8,390.2720829973987,12.295529584996984,38303852,44.232013,97.740141,0,stronger-titles,True
g0-stronger-titles,architecture,turso,lexical-sql,True,40,0.5840043018567261,0.8625,0.5272023809523809,0.725,334.8808109985839,13.141567774000578,76846321,24.951218,71.2035,0,stronger-titles,True
g0-stronger-titles,enterprise,classical,fusion,True,40,0.43423767296046306,0.4246031746031746,0.5625,0.325,42.646126999898115,61.67594833700059,8014930,67.634056,109.581246,0,stronger-titles,True
